Assembly	scaffolds
# contigs (>= 0 bp)	3882
# contigs (>= 1000 bp)	1953
# contigs (>= 5000 bp)	266
# contigs (>= 10000 bp)	75
# contigs (>= 25000 bp)	37
# contigs (>= 50000 bp)	20
Total length (>= 0 bp)	8904540
Total length (>= 1000 bp)	8091821
Total length (>= 5000 bp)	4313020
Total length (>= 10000 bp)	3029812
Total length (>= 25000 bp)	2475545
Total length (>= 50000 bp)	1868877
# contigs	2626
Largest contig	174876
Total length	8583505
GC (%)	61.41
N50	5059
N75	2325
L50	262
L75	902
# N's per 100 kbp	33.58
